id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
250201,ឈូក,Chhuk,chhuk-250201,250201,250201,12.1549457,105.7402648
250202,ជំនីក,Chumnik,chumnik-250202,250202,250202,12.2513472,105.8076504
250203,កំពង់ទ្រាស,Kampong Treas,kampong-treas-250203,250203,250203,12.1235799,105.546447
250204,កោះពីរ,Kaoh Pir,kaoh-pir-250204,250204,250204,12.1411778,105.5466077
250205,ក្រូចឆ្មារ,Krouch Chhmar,krouch-chhmar-250205,250205,250205,12.2848784,105.6373925
250206,ប៉ឺស១,Peus Muoy,peus-muoy-250206,250206,250206,12.2461046,105.731037
250207,ប៉ើស២,Peus Pir,peus-pir-250207,250207,250207,,
250208,ព្រែកអាជី,Preaek A chi,preaek-a-chi-250208,250208,250208,,
250209,រការខ្នុរ,Roka Khnor,roka-khnor-250209,250209,250209,12.2472992,105.772531
250210,ស្វាយឃ្លាំង,Svay Khleang,svay-khleang-250210,250210,250210,12.268829,105.6573384
250211,ទ្រា,Trea,trea-250211,250211,060713,,
250212,ទួលស្នួល,Tuol Snuol,tuol-snuol-250212,250212,250212,12.1660204,105.6435581
